Category,SL.No.,NAME OF THE AIRLINE,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA
FOREIGN CARRIERS,49,KLM AIRLINES,22851,25064,981.1,1616.6
FOREIGN CARRIERS,50,KOREAN AIR,10954,11962,481.3,339.7
FOREIGN CARRIERS,51,KUWAIT AIRWAYS,102211,96349,1693.4,5405.4
FOREIGN CARRIERS,52,LUFTHANSA,152477,177063,12264.5,11408.3
FOREIGN CARRIERS,53,MAHAN AIR,4150,4632,51.3,293.7
FOREIGN CARRIERS,54,MALAYSIA AIRLINES,99459,97193,3410.1,3167.4
FOREIGN CARRIERS,55,MALINDO AIRWAYS,90532,99379,146.9,189.0
FOREIGN CARRIERS,56,MEGA MALDIVES AIRLINES,0,0,0.0,0.0
FOREIGN CARRIERS,57,MIHIN LANKA,0,0,0.0,0.0
FOREIGN CARRIERS,58,MYANMAR AIRLINES,1020,1781,0.0,0.0
FOREIGN CARRIERS,59,NEPAL AIRLINES CORPORATION,21763,20146,0.0,41.6
FOREIGN CARRIERS,60,NOVO AIR,4856,5023,0.0,0.0
FOREIGN CARRIERS,61,OMAN AIR,268273,218222,957.2,4254.7
FOREIGN CARRIERS,62,PAK INTERNATIONAL,947,2654,3.3,20.2
FOREIGN CARRIERS,63,QATAR AIRWAYS,269417,248588,16181.4,28557.5
FOREIGN CARRIERS,64,REGENT AIRWAYS,27682,26710,0.0,62.0
FOREIGN CARRIERS,65,ROSSIYA AIRLINES,7987,10381,0.0,0.0
FOREIGN CARRIERS,66,RWANDA AIR,3390,3447,0.0,0.0
FOREIGN CARRIERS,67,SAFI AIRWAYS,5853,6056,10.4,81.4
FOREIGN CARRIERS,68,SAUDIA,204447,187935,719.0,8526.5
FOREIGN CARRIERS,69,SCAT AIRLINES,0,0,0.0,0.0
FOREIGN CARRIERS,70,SCOOT PTE LTD.,38623,37661,858.1,1109.2
FOREIGN CARRIERS,71,SHANDONG AIRLINES,3924,4902,0.0,0.0
FOREIGN CARRIERS,72,SILK AIR,64781,65228,324.1,729.5
FOREIGN CARRIERS,73,SINGAPORE AIRLINES,152762,158899,9455.3,9494.5
FOREIGN CARRIERS,74,SRILNKAN AIRWAYS,223118,215668,2474.7,5606.1
FOREIGN CARRIERS,75,SWISS AIR,32471,39718,2568.7,3523.1
FOREIGN CARRIERS,76,TAJIK AIR,1639,1302,1.6,47.0
FOREIGN CARRIERS,77,THAI AIR ASIA,46100,45276,395.6,314.2
FOREIGN CARRIERS,78,THAI AIRWAYS,181183,192339,7043.5,5002.9
FOREIGN CARRIERS,79,THAI SMILE AIRWAYS,9993,10310,0.0,0.0
FOREIGN CARRIERS,80,THOMAS COOK AIRLINES U.K.,0,0,0.0,0.0
FOREIGN CARRIERS,81,TIGER AIRWAYS,75702,71360,229.3,640.4
FOREIGN CARRIERS,82,TRANSAERO AIRLINES,0,0,0.0,0.0
FOREIGN CARRIERS,83,TURKISH AIRLINES,55818,64815,3454.3,4518.9
FOREIGN CARRIERS,84,TURKMENISTAN AIRLINES,6744,10557,0.0,102.7
FOREIGN CARRIERS,85,UNITED AIRLINES,38199,41068,409.4,1127.0
FOREIGN CARRIERS,86,UNITED AIRLINES BANGLADESH LTD.,0,0,0.0,0.0
FOREIGN CARRIERS,87,UNITED PARCEL SERVICES,0,0,1850.2,965.1
FOREIGN CARRIERS,88,US BANGLA AIRLINES,15627,14722,0.0,0.0
FOREIGN CARRIERS,89,UZBEKISTAN AIRWAYS,12528,13149,857.4,1561.1
FOREIGN CARRIERS,90,VIRGIN ATLANTIC AIRLINES,16334,21777,867.8,1441.7
FOREIGN CARRIERS,91,YEMENIA AIRWAYS,1713,1696,0.0,9.4
FOREIGN CARRIERS,92,TOTAL (FOREIGN CARRIERS),4547409,4532411,139342.3,206622.0
TOTAL (DOMESTIC & FOREIGN CARRIERS),TOTAL (DOMESTIC & FOREIGN CARRIERS),TOTAL (DOMESTIC & FOREIGN CARRIERS),7351315,7245837,172417.0,263967.2
